college_code,college_name,city,district,autonomous,college_type,university,naac_grade,nirf_rank,website
E001,University Visvesvaraya College of Engineering,Bengaluru,Bengaluru Urban,TRUE,University,,,,
E002,Govt. S K S J T Institute of Engineering,Bengaluru,Bengaluru Urban,FALSE,Government,,,,
E003,B M S College of Engineering,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E004,Dr. Ambedkar Institute of Technology,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E005,R. V. College of Engineering,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E006,M S Ramaiah Institute of Technology,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E007,Dayananda Sagar College of Engineering,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E008,Bangalore Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E009,PES University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E011,M V J College of Engineering,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E012,Sir M. Visvesvaraya Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E013,Ghousia Engineering College,Ramanagara,Ramanagara,FALSE,Private,,,,
E014,S J C Institute of Technology,Chikkaballapur,Chikkaballapur,FALSE,Private,,,,
E015,Dr. T. Thimmaiah Institute of Technology,Bangarapet,Kolar,FALSE,Private,,,,
E016,Siddaganga Institute of Technology,Tumakuru,Tumakuru,TRUE,Private,,,,
E017,Sri Siddhartha Institute of Technology,Tumakuru,Tumakuru,TRUE,Private,,,,
E018,Kalpatharu Institute of Technology,Tiptur,Tumakuru,FALSE,Private,,,,
E021,Sri Jayachamarajendra College of Engineering,Mysuru,Mysuru,TRUE,Private,,,,
E022,The National Institute of Engineering (South Campus),Mysuru,Mysuru,TRUE,Private,,,,
E023,P E S College of Engineering,Mandya,Mandya,TRUE,Private,,,,
E024,Malnad College of Engineering,Hassan,Hassan,TRUE,Private,,,,
E028,Tontadarya College of Engineering,Gadag,Gadag,FALSE,Private,,,,
E029,Maratha Mandal Engineering College,Belagavi,Belagavi,FALSE,Private,,,,
E031,B V V Sangha Basaveshwara Engineering College,Bagalkot,Bagalkot,TRUE,Private,,,,
E032,R T E Society's Rural Engineering College,Hulkoti,Gadag,FALSE,Private,,,,
E033,Sri Taralabalu Jagadguru Institute of Technology,Ranebennur,Haveri,FALSE,Private,,,,
E034,SDM College of Engineering,Dharwad,Dharwad,TRUE,Private,,,,
E035,Anjuman Institute of Technology & Management,Bhatkal,Uttara Kannada,FALSE,Private,,,,
E036,K L E Technological University (Belgaum Campus),Belagavi,Belagavi,FALSE,University,,,,
E037,K L S Gogte Institute of Technology,Belagavi,Belagavi,TRUE,Private,,,,
E038,BLDEA's V P Dr P G Hallakatti College of Engineering & Technology,Vijayapura,Vijayapura,FALSE,Private,,,,
E040,Hira Sugar Institute of Technology,Nidasoshi,Belagavi,FALSE,Private,,,,
E041,P D A College of Engineering,Kalaburagi,Kalaburagi,TRUE,Private,,,,
E042,Khaja Bandanawaz University,Kalaburagi,Kalaburagi,FALSE,University,,,,
E043,Gurunanak Dev Engineering College,Bidar,Bidar,FALSE,Private,,,,
E044,Bheemanna Khandre Institute of Technology,Bhalki,Bidar,FALSE,Private,,,,
E045,Rao Bahadur Y. Mahabaleswarappa Engineering College,Ballari,Ballari,FALSE,Private,,,,
E046,H K E Society's Sir M Visvesvaraya College of Engineering,Kalaburagi,Kalaburagi,FALSE,Private,,,,
E047,Malnad College of Engineering,Hassan,Hassan,TRUE,Private,,,,
E048,B M S College of Engineering,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E049,B V V Sangha Basaveshwara Engineering College,Bagalkot,Bagalkot,TRUE,Private,,,,
E054,K V G College of Engineering,Sullia,Dakshina Kannada,FALSE,Private,,,,
E055,P A College of Engineering,Mangaluru,Dakshina Kannada,FALSE,Private,,,,
E056,The National Institute of Engineering (South Campus),Mysuru,Mysuru,TRUE,Private,,,,
E057,JSS Science and Technology University,Mysuru,Mysuru,FALSE,University,,,,
E058,P E S College of Engineering,Mandya,Mandya,TRUE,Private,,,,
E059,P D A College of Engineering,Kalaburagi,Kalaburagi,TRUE,Private,,,,
E060,Dr. Ambedkar Institute of Technology,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E061,University B D T College of Engineering,Davanagere,Davanagere,FALSE,Constituent,,,,
E062,Bapuji Institute of Engineering & Technology,Davanagere,Davanagere,FALSE,Private,,,,
E063,S J M Institute of Technology,Chitradurga,Chitradurga,FALSE,Private,,,,
E064,Adhichunchanagiri Institute of Technology,Chikkamagaluru,Chikkamagaluru,FALSE,Private,,,,
E065,Jawaharlal Nehru New College of Engineering,Shivamogga,Shivamogga,FALSE,Private,,,,
E066,University B D T College of Engineering (H. Gov),Davanagere,Davanagere,FALSE,Constituent,,,,
E070,Bahubali College of Engineering,Shravanabelagola,Hassan,FALSE,Private,,,,
E071,Vidya Vardhaka College of Engineering,Mysuru,Mysuru,TRUE,Private,,,,
E075,Ballari Institute of Technology & Management,Ballari,Ballari,TRUE,Private,,,,
E076,Proudadevaraya Institute of Technology,Hosapete,Vijayanagara,FALSE,Private,,,,
E077,Vidya Vikas Institute of Engineering & Technology,Mysuru,Mysuru,FALSE,Private,,,,
E078,"The Oxford College of Engineering, Bangalore HOSUR ROAD,BOMMANAHALLI,BANGALORE",Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E079,Acharya Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E081,Sri Siddhartha School of Engineering,Tumakuru,Tumakuru,FALSE,Private,,,,
E082,J S S Academy of Technical Education,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E083,H K B K College of Engineering,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
