college_code,college_name,city,district,autonomous,college_type,university,naac_grade,nirf_rank,website
E001,University Visvesvaraya College of Engineering,,,,,,,,
E002,Govt. S K S J T Institute of Engineering,,,,,,,,
E003,B M S College of Engineering,,,,,,,,
E004,Dr. Ambedkar Institute of Technology,,,,,,,,
E005,R. V. College of Engineering,,,,,,,,
E006,M S Ramaiah Institute of Technology,,,,,,,,
E007,Dayananda Sagar College of Engineering,,,,,,,,
E008,Bangalore Institute of Technology,,,,,,,,
E009,PES University,,,,,,,,
E011,M V J College of Engineering,,,,,,,,
E012,Sir M. Visvesvaraya Institute of Technology,,,,,,,,
E013,Ghousia Engineering College,,,,,,,,
E014,S J C Institute of Technology,,,,,,,,
E015,Dr. T. Thimmaiah Institute of Technology,,,,,,,,
E016,Siddaganga Institute of Technology,,,,,,,,
E017,Sri Siddhartha Institute of Technology,,,,,,,,
E018,Kalpatharu Institute of Technology,,,,,,,,
E021,Sri Jayachamarajendra College of Engineering,,,,,,,,
E022,The National Institute of Engineering (South Campus),,,,,,,,
E023,P E S College of Engineering,,,,,,,,
E024,Malnad College of Engineering,,,,,,,,
E028,Tontadarya College of Engineering,,,,,,,,
E029,Maratha Mandal Engineering College,,,,,,,,
E031,B V V Sangha Basaveshwara Engineering College,,,,,,,,
E032,R T E Society's Rural Engineering College,,,,,,,,
E033,Sri Taralabalu Jagadguru Institute of Technology,,,,,,,,
E034,SDM College of Engineering,,,,,,,,
E035,Anjuman Institute of Technology & Management,,,,,,,,
E036,K L E Technological University (Belgaum Campus),,,,,,,,
E037,K L S Gogte Institute of Technology,,,,,,,,
E038,BLDEA's V P Dr P G Hallakatti College of Engineering & Technology,,,,,,,,
E040,Hira Sugar Institute of Technology,,,,,,,,
E041,P D A College of Engineering,,,,,,,,
E042,Khaja Bandanawaz University,,,,,,,,
E043,Gurunanak Dev Engineering College,,,,,,,,
E044,Bheemanna Khandre Institute of Technology,,,,,,,,
E045,Rao Bahadur Y. Mahabaleswarappa Engineering College,,,,,,,,
E046,H K E Society's Sir M Visvesvaraya College of Engineering,,,,,,,,
E047,Malnad College of Engineering,,,,,,,,
E048,B M S College of Engineering,,,,,,,,
E049,B V V Sangha Basaveshwara Engineering College,,,,,,,,
E054,K V G College of Engineering,,,,,,,,
E055,P A College of Engineering,,,,,,,,
E056,The National Institute of Engineering (South Campus),,,,,,,,
E057,JSS Science and Technology University,,,,,,,,
E058,P E S College of Engineering,,,,,,,,
